Epoch,TrainLoss,ValLoss,TrainAcc,AUC,ValAcc,Precision,Recall,F1,MAP100,MAP200
130,0.0483,0.6595,0.9848,0.7435,0.9076,0.4422,0.2752,0.3392,0.8837,0.8535
131,0.0387,0.7469,0.9878,0.7395,0.8960,0.3818,0.3340,0.3563,0.8867,0.8745
132,0.0290,0.7346,0.9916,0.7442,0.9047,0.4295,0.3231,0.3688,0.9192,0.8959
133,0.0302,0.7874,0.9912,0.7463,0.9083,0.4511,0.2936,0.3557,0.8638,0.8657
134,0.0248,0.7857,0.9928,0.7396,0.9016,0.4157,0.3477,0.3787,0.9023,0.8871
135,0.0212,0.8532,0.9937,0.7273,0.9084,0.4502,0.2813,0.3463,0.8820,0.8738
136,0.0277,0.8794,0.9927,0.7342,0.9097,0.4600,0.2717,0.3417,0.8960,0.8814
137,0.0227,0.9156,0.9933,0.7334,0.9118,0.4792,0.2676,0.3434,0.8614,0.8661
138,0.0202,0.9010,0.9946,0.7206,0.9031,0.4141,0.2984,0.3469,0.8443,0.8385
139,0.0209,0.9588,0.9945,0.7353,0.9133,0.4947,0.2560,0.3374,0.8767,0.8682
140,0.0182,0.9451,0.9952,0.7229,0.9044,0.4206,0.2902,0.3435,0.8747,0.8686
141,0.0173,0.9919,0.9953,0.7249,0.9073,0.4406,0.2820,0.3439,0.8492,0.8549
142,0.0178,0.9473,0.9954,0.7310,0.9087,0.4549,0.3005,0.3619,0.8286,0.8419
143,0.0158,0.9781,0.9958,0.7373,0.9083,0.4516,0.2971,0.3584,0.9097,0.8874
144,0.0169,0.9108,0.9953,0.7282,0.8992,0.3980,0.3299,0.3608,0.8587,0.8525
145,0.0242,0.9479,0.9937,0.6828,0.8892,0.3267,0.2690,0.2950,0.8523,0.8219
146,0.1551,0.4358,0.9563,0.6798,0.9136,0.4915,0.0787,0.1357,0.8532,0.8142
147,0.1696,0.5463,0.9446,0.7265,0.9091,0.4386,0.1930,0.2681,0.8783,0.8535
148,0.1504,0.5957,0.9546,0.7042,0.8828,0.2885,0.2450,0.2650,0.8575,0.8347
149,0.1008,0.5665,0.9677,0.7533,0.9004,0.3989,0.3066,0.3467,0.9092,0.8821
150,0.0634,0.6645,0.9805,0.7395,0.9080,0.4410,0.2505,0.3195,0.8913,0.8717
151,0.0598,0.6547,0.9810,0.7592,0.8900,0.3519,0.3285,0.3398,0.8557,0.8414
152,0.2486,0.5017,0.9747,0.5341,0.9065,0.2644,0.0472,0.0801,0.5829,0.5496
153,0.2286,0.3917,0.9253,0.6971,0.9101,0.3714,0.0623,0.1067,0.7358,0.7171
154,0.1836,0.4357,0.9383,0.7161,0.9048,0.3311,0.1020,0.1559,0.7690,0.7457
155,0.1505,0.4866,0.9467,0.7078,0.8843,0.2505,0.1718,0.2038,0.7774,0.7535
156,0.1380,0.5025,0.9500,0.7225,0.8840,0.2735,0.2088,0.2368,0.8092,0.7866
157,0.1213,0.4759,0.9562,0.7225,0.9132,0.4879,0.1513,0.2309,0.8665,0.8442
158,0.1028,0.5117,0.9663,0.7510,0.9092,0.4466,0.2231,0.2976,0.8141,0.8113
159,0.0815,0.5302,0.9738,0.7431,0.9097,0.4483,0.2047,0.2810,0.8437,0.8253
160,0.0639,0.6644,0.9792,0.7344,0.8951,0.3596,0.2779,0.3135,0.8399,0.8366
161,0.0567,0.6205,0.9829,0.7387,0.9067,0.4302,0.2533,0.3188,0.8427,0.8283
162,0.0625,0.6794,0.9812,0.7260,0.9057,0.4272,0.2772,0.3362,0.8269,0.8180
163,0.0474,0.6869,0.9860,0.7243,0.8876,0.3358,0.3107,0.3228,0.8531,0.8304
164,0.0695,0.6539,0.9838,0.7242,0.9090,0.4461,0.2293,0.3029,0.8532,0.8291
